Address,AreaName,Price,lat,lng,postal_code,neighbourhood
"112 Helendale Ave Toronto, ON",Midtown Toronto,989000,43.708542,-79.40211500000001,M4R 1C7,Helendale Avenue
"#2004 - 21 Balmuto St Toronto, ON",Downtown,445900,43.669151,-79.387375,M4Y 1W4,Balmuto Street
"#707 - 5 Rowntree Rd Toronto, ON",Rexdale,319901,43.74955,-79.58075,M9V 5G9,Etobicoke
"45 Valhalla Blvd Toronto, ON",Birch Cliff,699000,43.688419,-79.267677,M1N 3B4,Valhalla Boulevard
"102 Mcgillivray Ave Toronto, ON",Nortown,1299900,43.736374,-79.430412,M5M 2Y4,McGillivray Avenue
"#1912 - 62 Forest Manor Rd Toronto, ON",Henry Farm,325000,43.773922,-79.345726,M2J 0B6,George Henry Boulevard
"9 Isaac Devins Blvd Toronto, ON",Humberlea,1049000,43.729229,-79.534203,M9M 0C7,Isaac Devins Boulevard
"#3601 - 2220 Lakeshore Blvd Toronto, ON",Mimico,320000,43.62273,-79.483192,M8V 0C1,Lake Shore Boulevard West
"#537 - 665 Kennedy Rd Toronto, ON",Scarborough Junction,179000,43.72599,-79.265015,M1K 2B8,Kennedy Road
"#2709 - 70 Temperance St Toronto, ON",Downtown,459000,43.650372,-79.382347,M5H 3V5,Sheppard Street
"#2708 - 5168 Yonge St Toronto, ON",Willowdale,409900,43.769829,-79.413467,M2N 0G1,Yonge Street
"#1905 - 17 Anndale Dr Toronto, ON",Willowdale,580000,43.760135999999996,-79.40789000000001,M2N 2W7,Anndale Drive
"#2002 - 2 Anndale Dr Toronto, ON",Willowdale,605900,43.760464,-79.410248,M2N 0G5,Anndale Drive
"#2016 - 155 Beecroft Rd Toronto, ON",Willowdale,469900,43.765537,-79.413155,M2N 7C5,Beecroft Road
"#1016 - 35 Bales Ave Toronto, ON",Willowdale,515000,43.760181,-79.408218,M2N 7L7,Anndale Drive
"#729 - 39 Queens Quay Way Toronto, ON",Downtown,438800,43.641346,-79.372421,M5E 0A4,Queens Quay East
"22 Norman Wesley Way Toronto, ON",Downsview,579999,43.743221000000005,-79.488487,M3M 3H4,Norman Wesley Way
"25 Parkland Rd Toronto, ON",Birch Cliff,1790000,43.685295,-79.281013,M1N 1Y7,North Drive
"30 Exeter St Toronto, ON",Carleton Village,699900,43.673656,-79.455894,M6N 1G2,Exeter Street
"#305 - 9 Burnhamthorpe Cres Toronto, ON",Islington,598000,43.649681,-79.530716,M9A 1G4,Burnhamthorpe Crescent
"#Loft 2 - 2B Minto St Toronto, ON",Leslieville,1369900,43.663742,-79.324966,M4L 1B6,Minto Street
"#1605 - 61 Markbrook Lane Toronto, ON",Rexdale,254900,43.759262,-79.585342,M9V 5E7,Markbrook Lane
"#724 - 2885 Bayview Ave Toronto, ON",Bayview Village,559999,43.767936999999996,-79.387955,M2K 0A3,Bayview Avenue
"#402 - 323 Richmond St Toronto, ON",Old Town,337000,43.653217,-79.368378,M5A 4S8,Richmond Street East
"90 Browning Ave Toronto, ON",Riverdale,1599000,43.682064000000004,-79.353073,M4K 1V9,Browning Avenue
"#3307 - 21 Widmer St Toronto, ON",Downtown,438000,43.647224,-79.391098,M5V 0B8,Widmer Street
"#1108 - 55 Bamburgh Circ Toronto, ON",Steeles,329900,43.814667,-79.326698,M1W 3V4,Bamburgh Circle
"42 Rovinelli Rd Toronto, ON",Malvern,849000,43.815104999999996,-79.217415,M1B 4L2,Middleport Crescent
"#907 - 5791 Yonge St Toronto, ON",Newtonbrook,389999,43.784409000000004,-79.416061,M2M 0A8,Yonge Street
"592 The Queensway Toronto, ON",The Queensway,699900,43.628426,-79.49398000000001,M8Y 1J9,The Queensway
