Address,AreaName,Price,lat,lng,postal_code,neighbourhood
"#406 - 707 DOVERCOURT RD Toronto, ON",Dufferin Grove,379900,43.660225,-79.428726,M6H 2W7,Old Toronto
"82 CHISHOLM AVE Toronto, ON",Woodbine - Lumsden,899900,43.690174,-79.304123,M4C 4V4,East York
"#616 - 6 PARKWOOD AVE Toronto, ON",Midtown Toronto,579000,43.685623,-79.409592,M4V 2W9,Old Toronto
"#414 - 22 LEADER LANE Toronto, ON",Downtown,579000,43.649246,-79.375755,M5E 0B2,Old Toronto
"#525 - 36 BLUE JAYS WAY Toronto, ON",Downtown,359900,43.644932,-79.392143,M5V 3T3,Old Toronto
"6 GROVE AVE Toronto, ON",Trinity - Bellwoods,919000,43.647694,-79.42276,M6J 3B6,Old Toronto
"90 FAIRLEIGH CRES Toronto, ON",Midtown Toronto,1399000,43.70208,-79.437904,M6C 3R9,York
"40 MALLON AVE W Toronto, ON",Leslieville,859000,43.665806,-79.334892,M4M 1P8,Old Toronto
"#603 - 215 FORT YORK BLVD Toronto, ON",Niagara,289000,43.636345,-79.404808,M5V 4A2,Old Toronto
"#810 - 51 LOWER SIMCOE ST Toronto, ON",Entertainment District,560000,43.642208,-79.383728,M5J 3A6,Old Toronto
"#1231 - 38 GRAND MAGAZINE ST Toronto, ON",Niagara,309900,43.637035,-79.402863,M5V 0B2,Old Toronto
"#407 - 105 THE QUEENSWAY AVE Toronto, ON",Swansea,269900,43.636173,-79.470757,M6S 5B5,Old Toronto
"#2407 - 35 BALMUTO ST Toronto, ON",Downtown,425000,43.669456,-79.387474,M4Y 0A3,Old Toronto
"#609 - 222 THE ESPLANADE Toronto, ON",Downtown,395000,43.649731,-79.365303,M5A 4M8,Old Toronto
"#2 B - 36 HAZELTON AVE Toronto, ON",Midtown Toronto,1399999,43.671864,-79.393814,M5R 2E2,Old Toronto
"#1315 - 150 EAST LIBERTY ST Toronto, ON",Liberty Village,375000,43.638775,-79.41626,M6K 3R5,Canada
"#3614 - 18 YONGE ST Toronto, ON",Downtown,420000,43.644455,-79.376534,M5E 1Z8,Toronto
"#703 - 1166 BAY ST Toronto, ON",Downtown,1525000,43.668617,-79.389435,M5S 2B4,Old Toronto
"#910 - 75 EAST LIBERTY ST Toronto, ON",Liberty Village,379900,43.638306,-79.414787,M6K 0A2,Toronto
"#2111 - 170 FORT YORK BLVD Toronto, ON",Downtown,449900,43.639343,-79.399841,M5V 0E6,Canada
"#1203 - 159 DUNDAS ST E Toronto, ON",Downtown,374000,43.656807,-79.375092,M5B 0A9,Toronto
"1315 DANFORTH RD Toronto, ON",Eglinton East,699900,43.742371,-79.245285,M1J 1G2,Scarborough
"#39 - 17 PEMBROKE ST Toronto, ON",Downtown,500000,43.656715,-79.371559,M5A 2N6,Old Toronto
"#3010 - 2191 YONGE ST Toronto, ON",Davisville,415000,43.705597,-79.397453,M4S 3H8,Old Toronto
"#728 - 2 OLD MILL DR Toronto, ON",Lambton Baby Point,404900,43.648071,-79.486664,M6S,York
"#211 - 2 OLD MILL DR Toronto, ON",Lambton Baby Point,514900,43.648071,-79.486664,M6S,York
"#902 - 2261 LAKE SHORE BLVD W Toronto, ON",Mimico,699995,43.62001,-79.483086,M8V 3X1,Toronto
"#3005 - 2015 SHEPPARD AVE E Toronto, ON",Henry Farm,399000,43.775208,-79.336426,M2J 0A8,North York
"#1606 - 19 SINGER CRT Toronto, ON",Bayview Village,349900,43.769569,-79.369514,M2K 1C5,North York
"129 WATSON AVE Toronto, ON",Lambton,959000,43.664501,-79.492035,M6S 4E3,York
"154 DUNBLAINE AVE Toronto, ON",Nortown,2698000,43.734093,-79.42907,M5M 2S3,North York
"24 CORONATION DR Toronto, ON",West Hill,669000,43.760899,-79.191841,M1E 2H1,Scarborough
"#210 - 165 CHEROKEE BLVD Toronto, ON",Pleasant View,385000,43.792374,-79.336693,M2J 4T7,North York
"#5 - 175 TORYORK DR Toronto, ON",Humber Summit,312900,43.757954,-79.557304,M9L 2Y7,Toronto
"#905 - 120 HARRISON GARDEN BLVD Toronto, ON",Willowdale,399000,43.757988,-79.403625,M2N 0H1,North York
